date,sleep_hours,screen_time_hours,steps,water_glasses,mood,pocket_money_spent
2026-09-01,7.3,2.6,4464,5,Okay,0.67
2026-09-02,6.7,4.2,7348,9,Stressed,0.45
2026-09-03,7.7,2.6,7820,5,Tired,4.11
2026-09-04,8.2,2.6,6780,9,Okay,4.25
2026-09-05,8.3,6.8,5831,9,Happy,7.04
2026-09-06,8.5,4.8,1562,7,Okay,5.44
2026-09-07,8.4,2.2,7248,5,Stressed,2.31
2026-09-08,6.6,2.4,4317,9,Excited,2.98
2026-09-09,8.5,4.8,4441,4,Happy,0.12
2026-09-10,7.4,4.5,3664,7,Happy,0.71
2026-09-11,7.7,3.1,4112,8,Excited,1.0
2026-09-12,9.5,4.2,3232,7,Tired,8.18
2026-09-13,9.6,4.4,5400,4,Okay,11.08
2026-09-14,7.9,4.3,4232,8,Excited,0.62
