date,opponent,venue,goals_scored,goals_conceded,result
2026-08-15,Red Lions FC,Away,3,1,Win
2026-08-22,Blue Eagles,Home,0,1,Loss
2026-08-29,City Wanderers,Away,2,4,Loss
2026-09-05,United Rovers,Home,0,1,Loss
2026-09-12,Athletic Town,Home,1,1,Draw
2026-09-19,Northside FC,Home,3,0,Win
2026-09-26,Riverside United,Home,2,1,Win
2026-10-03,Park Rangers,Home,2,1,Win
2026-10-10,Coastal FC,Home,0,2,Loss
2026-10-17,Highland Athletic,Away,1,2,Loss
2026-10-24,Sunset United,Away,2,2,Draw
2026-10-31,Ironside FC,Home,2,1,Win
2026-11-07,Valley Rovers,Away,0,2,Loss
2026-11-14,Metro City,Home,2,1,Win
2026-11-21,Old Town FC,Away,2,2,Draw
2026-11-28,Westfield United,Away,1,1,Draw
2026-12-05,Central Park FC,Home,3,0,Win
2026-12-12,Harbor City,Away,1,3,Loss
2026-12-19,Green Valley FC,Away,1,4,Loss
2026-12-26,Stonebridge United,Home,2,0,Win
2027-01-02,Eastside Rovers,Away,0,2,Loss
2027-01-09,Pinewood FC,Home,4,0,Win
2027-01-16,Kingsway United,Away,1,1,Draw
2027-01-23,Bridgeport FC,Away,2,2,Draw
2027-01-30,Silver Hawks,Home,4,1,Win
2027-02-06,Lakeside FC,Home,0,2,Loss
