date,max_temp,min_temp,rainfall,condition
2026-08-01,22.2,16.1,0.8,Cloudy
2026-08-02,26.1,20.7,2.7,Cloudy
2026-08-03,26.2,20.1,0.0,Sunny
2026-08-04,22.2,14.0,0.6,Cloudy
2026-08-05,23.3,14.3,1.8,Cloudy
2026-08-06,31.6,23.1,0.0,Sunny
2026-08-07,27.1,17.3,0.0,Sunny
2026-08-08,26.6,21.1,0.0,Sunny
2026-08-09,21.6,13.0,16.7,Rainy
2026-08-10,27.8,20.0,1.1,Cloudy
2026-08-11,21.7,13.8,17.6,Rainy
2026-08-12,22.3,15.9,0.7,Cloudy
2026-08-13,27.6,22.1,0.0,Sunny
2026-08-14,30.4,23.6,0.0,Sunny
2026-08-15,27.5,21.2,0.0,Sunny
2026-08-16,21.9,16.0,13.4,Rainy
2026-08-17,23.0,13.1,1.1,Cloudy
2026-08-18,25.3,16.1,2.1,Cloudy
2026-08-19,23.4,16.8,0.1,Cloudy
2026-08-20,27.5,17.8,0.0,Sunny
2026-08-21,19.9,12.9,14.1,Rainy
2026-08-22,20.8,14.6,7.5,Rainy
2026-08-23,23.6,14.1,1.8,Cloudy
2026-08-24,27.5,17.5,0.0,Sunny
2026-08-25,22.5,17.0,0.1,Cloudy
2026-08-26,26.8,21.5,1.3,Cloudy
2026-08-27,33.0,25.4,0.0,Sunny
2026-08-28,23.2,14.6,3.2,Rainy
2026-08-29,25.2,17.0,0.8,Cloudy
2026-08-30,29.0,21.7,0.0,Sunny
